country,food_category,amount,type
Argentina,Pork,10.51,consumption
Argentina,Poultry,38.66,consumption
Argentina,Beef,55.48,consumption
Argentina,Lamb & Goat,1.56,consumption
Argentina,Fish,4.36,consumption
Argentina,Eggs,11.39,consumption
Argentina,Milk - inc. cheese,195.08,consumption
Argentina,Wheat and Wheat Products,103.11,consumption
Argentina,Rice,8.77,consumption
Argentina,Soybeans,0,consumption
Argentina,Nuts inc. Peanut Butter,0.49,consumption
Australia,Pork,24.14,consumption
Australia,Poultry,46.12,consumption
Australia,Beef,33.86,consumption
Australia,Lamb & Goat,9.87,consumption
Australia,Fish,17.69,consumption
Australia,Eggs,8.51,consumption
Australia,Milk - inc. cheese,234.49,consumption
Australia,Wheat and Wheat Products,70.46,consumption
Australia,Rice,11.03,consumption
Australia,Soybeans,0.19,consumption
Australia,Nuts inc. Peanut Butter,8.73,consumption
Albania,Pork,10.88,consumption
Albania,Poultry,13.23,consumption
Albania,Beef,22.5,consumption
Albania,Lamb & Goat,15.32,consumption
Albania,Fish,3.85,consumption
Albania,Eggs,12.45,consumption
Albania,Milk - inc. cheese,303.72,consumption
Albania,Wheat and Wheat Products,138.64,consumption
Albania,Rice,7.78,consumption
Albania,Soybeans,0,consumption
Albania,Nuts inc. Peanut Butter,4.36,consumption
Iceland,Pork,21.69,consumption
Iceland,Poultry,26.87,consumption
Iceland,Beef,13.36,consumption
Iceland,Lamb & Goat,21.12,consumption
Iceland,Fish,74.41,consumption
Iceland,Eggs,8.24,consumption
Iceland,Milk - inc. cheese,225.82,consumption
Iceland,Wheat and Wheat Products,72.92,consumption
Iceland,Rice,3.89,consumption
Iceland,Soybeans,0.11,consumption
Iceland,Nuts inc. Peanut Butter,3.88,consumption
New Zealand,Pork,22.29,consumption
New Zealand,Poultry,34.98,consumption
New Zealand,Beef,22.49,consumption
New Zealand,Lamb & Goat,18.91,consumption
New Zealand,Fish,20.36,consumption
New Zealand,Eggs,9.91,consumption
New Zealand,Milk - inc. cheese,137.25,consumption
New Zealand,Wheat and Wheat Products,76.91,consumption
New Zealand,Rice,9.16,consumption
New Zealand,Soybeans,0.44,consumption
New Zealand,Nuts inc. Peanut Butter,8.22,consumption
USA,Pork,27.64,consumption
USA,Poultry,50.01,consumption
USA,Beef,36.24,consumption
USA,Lamb & Goat,0.43,consumption
USA,Fish,12.35,consumption
USA,Eggs,14.58,consumption
USA,Milk - inc. cheese,254.69,consumption
USA,Wheat and Wheat Products,80.43,consumption
USA,Rice,6.88,consumption
USA,Soybeans,0.04,consumption
USA,Nuts inc. Peanut Butter,7.86,consumption
Uruguay,Pork,16.84,consumption
Uruguay,Poultry,27.45,consumption
Uruguay,Beef,29.1,consumption
Uruguay,Lamb & Goat,8.23,consumption
Uruguay,Fish,6.53,consumption
Uruguay,Eggs,13.14,consumption
Uruguay,Milk - inc. cheese,210.54,consumption
Uruguay,Wheat and Wheat Products,109.31,consumption
Uruguay,Rice,11.5,consumption
Uruguay,Soybeans,0.01,consumption
Uruguay,Nuts inc. Peanut Butter,0.95,consumption
Luxembourg,Pork,43.58,consumption
Luxembourg,Poultry,21.37,consumption
Luxembourg,Beef,29.88,consumption
Luxembourg,Lamb & Goat,1.67,consumption
Luxembourg,Fish,23.09,consumption
Luxembourg,Eggs,14.64,consumption
Luxembourg,Milk - inc. cheese,255.3,consumption
Luxembourg,Wheat and Wheat Products,103.2,consumption
Luxembourg,Rice,4.2,consumption
Luxembourg,Soybeans,0.04,consumption
Luxembourg,Nuts inc. Peanut Butter,0.93,consumption
Brazil,Pork,12.6,consumption
Brazil,Poultry,45,consumption
Brazil,Beef,39.25,consumption
Brazil,Lamb & Goat,0.62,consumption
Brazil,Fish,10.01,consumption
Brazil,Eggs,8.98,consumption
Brazil,Milk - inc. cheese,149.28,consumption
Brazil,Wheat and Wheat Products,53,consumption
Brazil,Rice,32.13,consumption
Brazil,Soybeans,3.62,consumption
Brazil,Nuts inc. Peanut Butter,0.67,consumption
Kazakhstan,Pork,10.36,consumption
Kazakhstan,Poultry,18.38,consumption
Kazakhstan,Beef,23.38,consumption
Kazakhstan,Lamb & Goat,9.56,consumption
Kazakhstan,Fish,5.21,consumption
Kazakhstan,Eggs,8.29,consumption
Kazakhstan,Milk - inc. cheese,288.12,consumption
Kazakhstan,Wheat and Wheat Products,92.31,consumption
Kazakhstan,Rice,7.32,consumption
Kazakhstan,Soybeans,0.03,consumption
Kazakhstan,Nuts inc. Peanut Butter,5.14,consumption
Sweden,Pork,37,consumption
Sweden,Poultry,16.64,consumption
Sweden,Beef,24.58,consumption
Sweden,Lamb & Goat,1.41,consumption
Sweden,Fish,23.86,consumption
Sweden,Eggs,13.37,consumption
Sweden,Milk - inc. cheese,341.23,consumption
Sweden,Wheat and Wheat Products,79.59,consumption
Sweden,Rice,5.96,consumption
Sweden,Soybeans,0.13,consumption
Sweden,Nuts inc. Peanut Butter,6.23,consumption
Bermuda,Pork,28.24,consumption
Bermuda,Poultry,32.62,consumption
Bermuda,Beef,33.15,consumption
Bermuda,Lamb & Goat,2.71,consumption
Bermuda,Fish,33.22,consumption
Bermuda,Eggs,14.92,consumption
Bermuda,Milk - inc. cheese,95.56,consumption
Bermuda,Wheat and Wheat Products,54.88,consumption
Bermuda,Rice,5.38,consumption
Bermuda,Soybeans,0.22,consumption
Bermuda,Nuts inc. Peanut Butter,5.72,consumption
Denmark,Pork,24.87,consumption
Denmark,Poultry,26.75,consumption
Denmark,Beef,28.46,consumption
Denmark,Lamb & Goat,0.92,consumption
Denmark,Fish,16.49,consumption
Denmark,Eggs,15.35,consumption
Denmark,Milk - inc. cheese,277.3,consumption
Denmark,Wheat and Wheat Products,98,consumption
Denmark,Rice,4.96,consumption
Denmark,Soybeans,0.03,consumption
Denmark,Nuts inc. Peanut Butter,5.94,consumption
Finland,Pork,36.14,consumption
Finland,Poultry,19.87,consumption
Finland,Beef,19.22,consumption
Finland,Lamb & Goat,0.53,consumption
Finland,Fish,33.8,consumption
Finland,Eggs,9.55,consumption
Finland,Milk - inc. cheese,430.76,consumption
Finland,Wheat and Wheat Products,81.99,consumption
Finland,Rice,4.42,consumption
Finland,Soybeans,0.08,consumption
Finland,Nuts inc. Peanut Butter,3.43,consumption
Ireland,Pork,32.4,consumption
Ireland,Poultry,26.26,consumption
Ireland,Beef,22.35,consumption
Ireland,Lamb & Goat,4.1,consumption
Ireland,Fish,17.39,consumption
Ireland,Eggs,8.96,consumption
Ireland,Milk - inc. cheese,291.86,consumption
Ireland,Wheat and Wheat Products,107.98,consumption
Ireland,Rice,3,consumption
Ireland,Soybeans,0.25,consumption
Ireland,Nuts inc. Peanut Butter,4.1,consumption
Greece,Pork,28.31,consumption
Greece,Poultry,15.74,consumption
Greece,Beef,16.1,consumption
Greece,Lamb & Goat,12.47,consumption
Greece,Fish,14.42,consumption
Greece,Eggs,10.13,consumption
Greece,Milk - inc. cheese,255.26,consumption
Greece,Wheat and Wheat Products,124.04,consumption
Greece,Rice,6.64,consumption
Greece,Soybeans,0.02,consumption
Greece,Nuts inc. Peanut Butter,10.5,consumption
France,Pork,33.05,consumption
France,Poultry,22.93,consumption
France,Beef,23.81,consumption
France,Lamb & Goat,3.28,consumption
France,Fish,22.91,consumption
France,Eggs,13.13,consumption
France,Milk - inc. cheese,241.31,consumption
France,Wheat and Wheat Products,108.43,consumption
France,Rice,4.88,consumption
France,Soybeans,0.05,consumption
France,Nuts inc. Peanut Butter,5.39,consumption
Canada,Pork,22.81,consumption
Canada,Poultry,36.68,consumption
Canada,Beef,30.25,consumption
Canada,Lamb & Goat,0.97,consumption
Canada,Fish,14.56,consumption
Canada,Eggs,12.95,consumption
Canada,Milk - inc. cheese,187.77,consumption
Canada,Wheat and Wheat Products,84.96,consumption
Canada,Rice,12.65,consumption
Canada,Soybeans,0.94,consumption
Canada,Nuts inc. Peanut Butter,8.01,consumption
