team_code,year,capacity,year_jitter
ARI,2000,53599,-0.5
ARI,2001,53599,-0.45
ARI,2002,53599,-0.4
ARI,2003,53599,-0.35
ARI,2004,53599,-0.3
ARI,2005,53599,-0.25
ARI,2006,63400,-0.2
ARI,2007,63400,-0.15
ARI,2008,63400,-0.1
ARI,2009,63400,-0.05
ARI,2010,63400,0
ARI,2011,63400,0.05
ARI,2012,63400,0.1
ARI,2013,63400,0.15
ARI,2014,63400,0.2
ARI,2015,63400,0.25
ARI,2016,63400,0.3
ARI,2017,63400,0.35
ARI,2018,63400,0.4
ARI,2019,63400,0.45
ATL,2000,71228,-0.5
ATL,2001,71228,-0.45
ATL,2002,71228,-0.4
ATL,2003,71228,-0.35
ATL,2004,71228,-0.3
ATL,2005,71228,-0.25
ATL,2006,71228,-0.2
ATL,2007,71228,-0.15
ATL,2008,71228,-0.1
ATL,2009,71228,-0.05
ATL,2010,71228,0
ATL,2011,71228,0.05
ATL,2012,71228,0.1
ATL,2013,71228,0.15
ATL,2014,71228,0.2
ATL,2015,71228,0.25
ATL,2016,71228,0.3
ATL,2017,71000,0.35
ATL,2018,71000,0.4
ATL,2019,71000,0.45
BAL,2000,69084,-0.5
BAL,2001,69084,-0.45
BAL,2002,69084,-0.4
BAL,2003,69084,-0.35
BAL,2004,69084,-0.3
BAL,2005,70107,-0.25
BAL,2006,70107,-0.2
BAL,2007,71008,-0.15
BAL,2008,71008,-0.1
BAL,2009,71008,-0.05
BAL,2010,71008,0
BAL,2011,71008,0.05
BAL,2012,71008,0.1
BAL,2013,71008,0.15
BAL,2014,71008,0.2
BAL,2015,71008,0.25
BAL,2016,71008,0.3
BAL,2017,71008,0.35
BAL,2018,71008,0.4
BAL,2019,71008,0.45
BUF,2000,73967,-0.5
BUF,2001,73967,-0.45
BUF,2002,73967,-0.4
BUF,2003,73967,-0.35
BUF,2004,73967,-0.3
BUF,2005,73967,-0.25
BUF,2006,73967,-0.2
BUF,2007,73967,-0.15
BUF,2008,73967,-0.1
BUF,2009,73967,-0.05
BUF,2010,73967,0
BUF,2011,73967,0.05
BUF,2012,73967,0.1
BUF,2013,71608,0.15
BUF,2014,71608,0.2
BUF,2015,71608,0.25
BUF,2016,71608,0.3
BUF,2017,71608,0.35
BUF,2018,71608,0.4
BUF,2019,71608,0.45
CAR,2000,73250,-0.5
CAR,2001,73250,-0.45
CAR,2002,73250,-0.4
CAR,2003,73250,-0.35
CAR,2004,73250,-0.3
CAR,2005,73298,-0.25
CAR,2006,73298,-0.2
CAR,2007,73504,-0.15
CAR,2008,73778,-0.1
CAR,2009,73778,-0.05
CAR,2010,73778,0
CAR,2011,73778,0.05
CAR,2012,73778,0.1
CAR,2013,73778,0.15
CAR,2014,74455,0.2
CAR,2015,75419,0.25
CAR,2016,75419,0.3
CAR,2017,75523,0.35
CAR,2018,75523,0.4
CAR,2019,75523,0.45
CHI,2000,66944,-0.5
CHI,2001,66944,-0.45
CHI,2002,66944,-0.4
CHI,2003,61500,-0.35
CHI,2004,61500,-0.3
CHI,2005,61500,-0.25
CHI,2006,61500,-0.2
CHI,2007,61500,-0.15
CHI,2008,61500,-0.1
CHI,2009,61500,-0.05
CHI,2010,61500,0
CHI,2011,61500,0.05
CHI,2012,61500,0.1
CHI,2013,61500,0.15
CHI,2014,61500,0.2
CHI,2015,61500,0.25
CHI,2016,61500,0.3
CHI,2017,61500,0.35
CHI,2018,61500,0.4
CHI,2019,61500,0.45
CIN,2000,65515,-0.5
CIN,2001,65515,-0.45
CIN,2002,65515,-0.4
CIN,2003,65515,-0.35
CIN,2004,65515,-0.3
CIN,2005,65515,-0.25
CIN,2006,65515,-0.2
CIN,2007,65515,-0.15
CIN,2008,65515,-0.1
CIN,2009,65515,-0.05
CIN,2010,65515,0
CIN,2011,65515,0.05
CIN,2012,65515,0.1
CIN,2013,65515,0.15
CIN,2014,65515,0.2
CIN,2015,65515,0.25
CIN,2016,65515,0.3
CIN,2017,65515,0.35
CIN,2018,65515,0.4
CIN,2019,65515,0.45
CLE,2000,67895,-0.5
CLE,2001,67895,-0.45
CLE,2002,67895,-0.4
CLE,2003,67895,-0.35
CLE,2004,67895,-0.3
CLE,2005,67895,-0.25
CLE,2006,67895,-0.2
CLE,2007,67895,-0.15
CLE,2008,67895,-0.1
CLE,2009,67895,-0.05
CLE,2010,67895,0
CLE,2011,67895,0.05
CLE,2012,67895,0.1
CLE,2013,67895,0.15
CLE,2014,67895,0.2
CLE,2015,67895,0.25
CLE,2016,67895,0.3
CLE,2017,67895,0.35
CLE,2018,67895,0.4
CLE,2019,67895,0.45
DAL,2000,65675,-0.5
DAL,2001,65675,-0.45
DAL,2002,65675,-0.4
DAL,2003,65675,-0.35
DAL,2004,65675,-0.3
DAL,2005,65675,-0.25
DAL,2006,65675,-0.2
DAL,2007,65675,-0.15
DAL,2008,65675,-0.1
DAL,2009,80000,-0.05
DAL,2010,80000,0
DAL,2011,80000,0.05
DAL,2012,80000,0.1
DAL,2013,80000,0.15
DAL,2014,80000,0.2
DAL,2015,80000,0.25
DAL,2016,80000,0.3
DAL,2017,80000,0.35
DAL,2018,80000,0.4
DAL,2019,80000,0.45
DEN,2000,76273,-0.5
DEN,2001,76125,-0.45
DEN,2002,76125,-0.4
DEN,2003,76125,-0.35
DEN,2004,76125,-0.3
DEN,2005,76125,-0.25
DEN,2006,76125,-0.2
DEN,2007,76125,-0.15
DEN,2008,76125,-0.1
DEN,2009,76125,-0.05
DEN,2010,76125,0
DEN,2011,76125,0.05
DEN,2012,76125,0.1
DEN,2013,76125,0.15
DEN,2014,76125,0.2
DEN,2015,76125,0.25
DEN,2016,76125,0.3
DEN,2017,76125,0.35
DEN,2018,76125,0.4
DEN,2019,76125,0.45
DET,2000,80311,-0.5
DET,2001,65000,-0.45
DET,2002,65000,-0.4
DET,2003,65000,-0.35
DET,2004,65000,-0.3
DET,2005,65000,-0.25
DET,2006,65000,-0.2
DET,2007,65000,-0.15
DET,2008,65000,-0.1
DET,2009,65000,-0.05
DET,2010,65000,0
DET,2011,65000,0.05
DET,2012,65000,0.1
DET,2013,65000,0.15
DET,2014,65000,0.2
DET,2015,65000,0.25
DET,2016,65000,0.3
DET,2017,65000,0.35
DET,2018,65000,0.4
DET,2019,65000,0.45
GB,2000,61000,-0.5
GB,2001,61000,-0.45
GB,2002,61000,-0.4
GB,2003,72928,-0.35
GB,2004,72928,-0.3
GB,2005,72928,-0.25
GB,2006,72928,-0.2
GB,2007,72928,-0.15
GB,2008,72928,-0.1
GB,2009,72928,-0.05
GB,2010,72928,0
GB,2011,72928,0.05
GB,2012,72928,0.1
GB,2013,81441,0.15
GB,2014,81441,0.2
GB,2015,81441,0.25
GB,2016,81441,0.3
GB,2017,81441,0.35
GB,2018,81441,0.4
GB,2019,81441,0.45
IND,2000,56127,-0.5
IND,2001,56127,-0.45
IND,2002,56127,-0.4
IND,2003,55506,-0.35
IND,2004,55506,-0.3
IND,2005,55506,-0.25
IND,2006,55531,-0.2
IND,2007,55531,-0.15
IND,2008,67000,-0.1
IND,2009,67000,-0.05
IND,2010,67000,0
IND,2011,67000,0.05
IND,2012,67000,0.1
IND,2013,67000,0.15
IND,2014,67000,0.2
IND,2015,67000,0.25
IND,2016,67000,0.3
IND,2017,67000,0.35
IND,2018,67000,0.4
IND,2019,67000,0.45
JAX,2000,67814,-0.5
JAX,2001,67814,-0.45
JAX,2002,67814,-0.4
JAX,2003,67814,-0.35
JAX,2004,67814,-0.3
JAX,2005,67814,-0.25
JAX,2006,67814,-0.2
JAX,2007,67814,-0.15
JAX,2008,67814,-0.1
JAX,2009,67814,-0.05
JAX,2010,67814,0
JAX,2011,67814,0.05
JAX,2012,67814,0.1
JAX,2013,67814,0.15
JAX,2014,67814,0.2
JAX,2015,67814,0.25
JAX,2016,67814,0.3
JAX,2017,67814,0.35
JAX,2018,67814,0.4
JAX,2019,67814,0.45
KC,2000,79451,-0.5
KC,2001,79451,-0.45
KC,2002,79451,-0.4
KC,2003,79451,-0.35
KC,2004,79451,-0.3
KC,2005,79451,-0.25
KC,2006,79451,-0.2
KC,2007,79451,-0.15
KC,2008,79451,-0.1
KC,2009,79451,-0.05
KC,2010,76416,0
KC,2011,76416,0.05
KC,2012,76416,0.1
KC,2013,76416,0.15
KC,2014,76416,0.2
KC,2015,76416,0.25
KC,2016,76416,0.3
KC,2017,76416,0.35
KC,2018,76416,0.4
KC,2019,76416,0.45
LA,2000,67277,-0.5
LA,2001,67277,-0.45
LA,2002,67277,-0.4
LA,2003,67277,-0.35
LA,2004,67277,-0.3
LA,2005,67277,-0.25
LA,2006,67277,-0.2
LA,2007,67277,-0.15
LA,2008,67277,-0.1
LA,2009,67277,-0.05
LA,2010,67277,0
LA,2011,67277,0.05
LA,2012,67277,0.1
LA,2013,67277,0.15
LA,2014,67277,0.2
LA,2015,67277,0.25
LA,2016,66965,0.3
LA,2017,66965,0.35
LA,2018,66965,0.4
LA,2019,66965,0.45
LAC,2000,70561,-0.5
LAC,2001,70561,-0.45
LAC,2002,70561,-0.4
LAC,2003,70561,-0.35
LAC,2004,70561,-0.3
LAC,2005,70561,-0.25
LAC,2006,70561,-0.2
LAC,2007,70561,-0.15
LAC,2008,70561,-0.1
LAC,2009,70561,-0.05
LAC,2010,70561,0
LAC,2011,70561,0.05
LAC,2012,70561,0.1
LAC,2013,70561,0.15
LAC,2014,70561,0.2
LAC,2015,70561,0.25
LAC,2016,70561,0.3
LAC,2017,27000,0.35
LAC,2018,27000,0.4
LAC,2019,27000,0.45
MIA,2000,64767,-0.5
MIA,2001,64767,-0.45
MIA,2002,64767,-0.4
MIA,2003,64767,-0.35
MIA,2004,64767,-0.3
MIA,2005,64767,-0.25
MIA,2006,64767,-0.2
MIA,2007,64767,-0.15
MIA,2008,64767,-0.1
MIA,2009,64767,-0.05
MIA,2010,64767,0
MIA,2011,64767,0.05
MIA,2012,64767,0.1
MIA,2013,64767,0.15
MIA,2014,64767,0.2
MIA,2015,64767,0.25
MIA,2016,64767,0.3
MIA,2017,64767,0.35
MIA,2018,64767,0.4
MIA,2019,64767,0.45
MIN,2000,64121,-0.5
MIN,2001,64121,-0.45
MIN,2002,64121,-0.4
MIN,2003,64121,-0.35
MIN,2004,64121,-0.3
MIN,2005,64121,-0.25
MIN,2006,64121,-0.2
MIN,2007,64121,-0.15
MIN,2008,64121,-0.1
MIN,2009,64121,-0.05
MIN,2010,64121,0
MIN,2011,64121,0.05
MIN,2012,64121,0.1
MIN,2013,64121,0.15
MIN,2014,50805,0.2
MIN,2015,50805,0.25
MIN,2016,66655,0.3
MIN,2017,66655,0.35
MIN,2018,66860,0.4
MIN,2019,66860,0.45
NE,2000,60292,-0.5
NE,2001,60292,-0.45
NE,2002,68756,-0.4
NE,2003,68756,-0.35
NE,2004,68756,-0.3
NE,2005,68756,-0.25
NE,2006,68756,-0.2
NE,2007,68756,-0.15
NE,2008,68756,-0.1
NE,2009,68756,-0.05
NE,2010,68756,0
NE,2011,68756,0.05
NE,2012,68756,0.1
NE,2013,68756,0.15
NE,2014,68756,0.2
NE,2015,65878,0.25
NE,2016,65878,0.3
NE,2017,65878,0.35
NE,2018,65878,0.4
NE,2019,65878,0.45
NO,2000,73208,-0.5
NO,2001,73208,-0.45
NO,2002,73208,-0.4
NO,2003,73208,-0.35
NO,2004,73208,-0.3
NO,2005,73208,-0.25
NO,2006,73208,-0.2
NO,2007,73208,-0.15
NO,2008,73208,-0.1
NO,2009,73208,-0.05
NO,2010,73208,0
NO,2011,73208,0.05
NO,2012,73208,0.1
NO,2013,73208,0.15
NO,2014,73208,0.2
NO,2015,73208,0.25
NO,2016,73208,0.3
NO,2017,73208,0.35
NO,2018,73208,0.4
NO,2019,73208,0.45
NYG,2000,80242,-0.5
NYG,2001,80242,-0.45
NYG,2002,80242,-0.4
NYG,2003,80242,-0.35
NYG,2004,80242,-0.3
NYG,2005,80242,-0.25
NYG,2006,80242,-0.2
NYG,2007,80242,-0.15
NYG,2008,80242,-0.1
NYG,2009,80242,-0.05
NYG,2010,82550,0
NYG,2011,82550,0.05
NYG,2012,82550,0.1
NYG,2013,82550,0.15
NYG,2014,82550,0.2
NYG,2015,82550,0.25
NYG,2016,82550,0.3
NYG,2017,82550,0.35
NYG,2018,82550,0.4
NYG,2019,82550,0.45
NYJ,2000,80242,-0.5
NYJ,2001,80242,-0.45
NYJ,2002,80242,-0.4
NYJ,2003,80242,-0.35
NYJ,2004,80242,-0.3
NYJ,2005,80242,-0.25
NYJ,2006,80242,-0.2
NYJ,2007,80242,-0.15
NYJ,2008,80242,-0.1
NYJ,2009,80242,-0.05
NYJ,2010,82550,0
NYJ,2011,82550,0.05
NYJ,2012,82550,0.1
NYJ,2013,82550,0.15
NYJ,2014,82550,0.2
NYJ,2015,82550,0.25
NYJ,2016,82550,0.3
NYJ,2017,82550,0.35
NYJ,2018,82550,0.4
NYJ,2019,82550,0.45
OAK,2000,56057,-0.5
OAK,2001,56057,-0.45
OAK,2002,56057,-0.4
OAK,2003,56057,-0.35
OAK,2004,56057,-0.3
OAK,2005,56057,-0.25
OAK,2006,56057,-0.2
OAK,2007,56057,-0.15
OAK,2008,56057,-0.1
OAK,2009,56057,-0.05
OAK,2010,56057,0
OAK,2011,56057,0.05
OAK,2012,56057,0.1
OAK,2013,56057,0.15
OAK,2014,56057,0.2
OAK,2015,56057,0.25
OAK,2016,56057,0.3
OAK,2017,56057,0.35
OAK,2018,56057,0.4
OAK,2019,56057,0.45
PHI,2000,65252,-0.5
PHI,2001,65252,-0.45
PHI,2002,65252,-0.4
PHI,2003,69796,-0.35
PHI,2004,69796,-0.3
PHI,2005,69796,-0.25
PHI,2006,69796,-0.2
PHI,2007,69796,-0.15
PHI,2008,69796,-0.1
PHI,2009,69796,-0.05
PHI,2010,69796,0
PHI,2011,69796,0.05
PHI,2012,69796,0.1
PHI,2013,69796,0.15
PHI,2014,69796,0.2
PHI,2015,69796,0.25
PHI,2016,69796,0.3
PHI,2017,69796,0.35
PHI,2018,69796,0.4
PHI,2019,69796,0.45
PIT,2000,59000,-0.5
PIT,2001,64450,-0.45
PIT,2002,64450,-0.4
PIT,2003,64450,-0.35
PIT,2004,64450,-0.3
PIT,2005,64450,-0.25
PIT,2006,65050,-0.2
PIT,2007,65050,-0.15
PIT,2008,65050,-0.1
PIT,2009,65050,-0.05
PIT,2010,65050,0
PIT,2011,65500,0.05
PIT,2012,65500,0.1
PIT,2013,65500,0.15
PIT,2014,65500,0.2
PIT,2015,68400,0.25
PIT,2016,68400,0.3
PIT,2017,68400,0.35
PIT,2018,68400,0.4
PIT,2019,68400,0.45
SEA,2000,72500,-0.5
SEA,2001,72500,-0.45
SEA,2002,72500,-0.4
SEA,2003,68740,-0.35
SEA,2004,68740,-0.3
SEA,2005,68740,-0.25
SEA,2006,68740,-0.2
SEA,2007,68740,-0.15
SEA,2008,68740,-0.1
SEA,2009,68740,-0.05
SEA,2010,68740,0
SEA,2011,68740,0.05
SEA,2012,68740,0.1
SEA,2013,68740,0.15
SEA,2014,68740,0.2
SEA,2015,68740,0.25
SEA,2016,68740,0.3
SEA,2017,68740,0.35
SEA,2018,68740,0.4
SEA,2019,68740,0.45
SF,2000,69732,-0.5
SF,2001,69732,-0.45
SF,2002,69732,-0.4
SF,2003,69732,-0.35
SF,2004,69732,-0.3
SF,2005,69732,-0.25
SF,2006,69732,-0.2
SF,2007,69732,-0.15
SF,2008,69732,-0.1
SF,2009,69732,-0.05
SF,2010,69732,0
SF,2011,69732,0.05
SF,2012,69732,0.1
SF,2013,69732,0.15
SF,2014,68500,0.2
SF,2015,68500,0.25
SF,2016,68500,0.3
SF,2017,68500,0.35
SF,2018,68500,0.4
SF,2019,68500,0.45
TB,2000,66321,-0.5
TB,2001,65657,-0.45
TB,2002,65657,-0.4
TB,2003,65657,-0.35
TB,2004,65657,-0.3
TB,2005,65657,-0.25
TB,2006,65657,-0.2
TB,2007,65657,-0.15
TB,2008,65856,-0.1
TB,2009,65856,-0.05
TB,2010,65856,0
TB,2011,65856,0.05
TB,2012,65856,0.1
TB,2013,65890,0.15
TB,2014,65890,0.2
TB,2015,65890,0.25
TB,2016,65618,0.3
TB,2017,65618,0.35
TB,2018,65618,0.4
TB,2019,65618,0.45
TEN,2000,68498,-0.5
TEN,2001,68798,-0.45
TEN,2002,68804,-0.4
TEN,2003,68809,-0.35
TEN,2004,68932,-0.3
TEN,2005,69149,-0.25
TEN,2006,69143,-0.2
TEN,2007,69143,-0.15
TEN,2008,69143,-0.1
TEN,2009,69143,-0.05
TEN,2010,69143,0
TEN,2011,69143,0.05
TEN,2012,69143,0.1
TEN,2013,69143,0.15
TEN,2014,69143,0.2
TEN,2015,69143,0.25
TEN,2016,69143,0.3
TEN,2017,69143,0.35
TEN,2018,69143,0.4
TEN,2019,69143,0.45
WAS,2000,85407,-0.5
WAS,2001,86484,-0.45
WAS,2002,86484,-0.4
WAS,2003,86484,-0.35
WAS,2004,91665,-0.3
WAS,2005,91665,-0.25
WAS,2006,91665,-0.2
WAS,2007,91665,-0.15
WAS,2008,91665,-0.1
WAS,2009,91704,-0.05
WAS,2010,91704,0
WAS,2011,83000,0.05
WAS,2012,79000,0.1
WAS,2013,79000,0.15
WAS,2014,79000,0.2
WAS,2015,79000,0.25
WAS,2016,82000,0.3
WAS,2017,82000,0.35
WAS,2018,82000,0.4
WAS,2019,82000,0.45
