team_code,conference,division,combo,color,team_jitter
ARI,NFC,West,NW,darkred,-0.467741935
ATL,NFC,South,NS,black,-0.435483871
BAL,AFC,North,AN,purple,-0.403225806
BUF,AFC,East,AE,red,-0.370967742
CAR,NFC,South,NS,steeelblue,-0.338709677
CHI,NFC,North,NN,navy,-0.306451613
CIN,AFC,North,AN,orange,-0.274193548
CLE,AFC,North,AN,chocolate4,-0.241935484
DAL,NFC,East,NE,darkblue,-0.209677419
DEN,AFC,West,AW,orange,-0.177419355
DET,NFC,North,NN,blue,-0.14516129
GB,NFC,North,NN,darkgreen,-0.112903226
IND,AFC,South,AS,blue,-0.080645161
JAX,AFC,South,AS,aquamarine3,-0.048387097
KC,AFC,West,AW,red,-0.016129032
LA,NFC,West,NW,gold,0.016129032
LAC,AFC,West,AW,steeelblue,0.048387097
MIA,AFC,East,AE,darkturquoise,0.080645161
MIN,NFC,North,NN,purple,0.112903226
NE,AFC,East,AE,darkblue,0.14516129
NO,NFC,South,NS,gold,0.177419355
NYG,NFC,East,NE,blue,0.209677419
NYJ,AFC,East,AE,darkgreen,0.241935484
OAK,AFC,West,AW,azure4,0.274193548
PHI,NFC,East,NE,darkgreen,0.306451613
PIT,AFC,North,AN,black,0.338709677
SEA,NFC,West,NW,darkslategray4,0.370967742
SF,NFC,West,NW,darkred,0.403225806
TB,NFC,South,NS,darkred,0.435483871
TEN,AFC,South,AS,red,0.467741935
WAS,NFC,East,NE,darkred,0.5
